Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1864,03,33.3,14,Y
IDCJAC0005,086071,1864,04,29.5,01,Y
IDCJAC0005,086071,1864,05,21.3,04,Y
IDCJAC0005,086071,1864,06,17.6,16,Y
IDCJAC0005,086071,1864,07,17.7,14,Y
IDCJAC0005,086071,1864,08,18.3,28,Y
IDCJAC0005,086071,1864,09,26.1,20,Y
IDCJAC0005,086071,1864,10,26.1,10,Y
IDCJAC0005,086071,1864,11,33.3,30,Y
IDCJAC0005,086071,1864,12,33.9,23,Y
IDCJAC0005,086071,1865,01,34.8,04,Y
IDCJAC0005,086071,1865,02,39.7,27,Y
IDCJAC0005,086071,1865,03,35.7,04,Y
IDCJAC0005,086071,1865,04,34.4,06,Y
IDCJAC0005,086071,1865,05,21.1,08,Y
IDCJAC0005,086071,1865,06,20.1,21,Y
IDCJAC0005,086071,1865,07,15.0,30,Y
IDCJAC0005,086071,1865,08,21.3,21,Y
IDCJAC0005,086071,1865,09,26.1,22,Y
IDCJAC0005,086071,1865,10,32.8,31,Y
IDCJAC0005,086071,1865,11,37.3,11,Y
IDCJAC0005,086071,1865,12,38.7,27,Y
IDCJAC0005,086071,1866,01,42.3,16,Y
IDCJAC0005,086071,1866,02,39.1,08,Y
IDCJAC0005,086071,1866,03,35.5,12,Y
IDCJAC0005,086071,1866,04,32.7,11,Y
IDCJAC0005,086071,1866,05,27.8,01,Y
IDCJAC0005,086071,1866,06,18.0,15,Y
IDCJAC0005,086071,1866,07,17.2,03,Y
IDCJAC0005,086071,1866,08,21.3,29,Y
IDCJAC0005,086071,1866,09,23.9,14,Y
IDCJAC0005,086071,1866,10,32.1,30,Y
IDCJAC0005,086071,1866,11,35.1,06,Y
IDCJAC0005,086071,1866,12,36.1,25,Y
IDCJAC0005,086071,1867,01,42.4,12,Y
IDCJAC0005,086071,1867,02,37.2,10,Y
IDCJAC0005,086071,1867,03,36.1,06,Y
IDCJAC0005,086071,1867,04,29.7,04,Y
IDCJAC0005,086071,1867,05,23.3,15,Y
IDCJAC0005,086071,1867,06,18.8,07,Y
IDCJAC0005,086071,1867,07,18.7,12,Y
IDCJAC0005,086071,1867,08,21.5,25,Y
IDCJAC0005,086071,1867,09,22.2,03,Y
IDCJAC0005,086071,1867,10,28.2,30,Y
IDCJAC0005,086071,1867,11,35.0,28,Y
IDCJAC0005,086071,1867,12,40.3,19,Y
IDCJAC0005,086071,1868,01,37.9,25,Y
IDCJAC0005,086071,1868,02,34.1,04,Y
IDCJAC0005,086071,1868,03,40.3,01,Y
IDCJAC0005,086071,1868,04,27.1,17,Y
IDCJAC0005,086071,1868,05,26.0,16,Y
IDCJAC0005,086071,1868,06,19.4,29,Y
IDCJAC0005,086071,1868,07,17.7,28,Y
IDCJAC0005,086071,1868,08,19.9,27,Y
IDCJAC0005,086071,1868,09,25.5,16,Y
IDCJAC0005,086071,1868,10,35.4,28,Y
IDCJAC0005,086071,1868,11,38.5,28,Y
IDCJAC0005,086071,1868,12,43.3,24,Y
IDCJAC0005,086071,1869,01,37.5,27,Y
IDCJAC0005,086071,1869,02,38.2,19,Y
IDCJAC0005,086071,1869,03,31.7,27,Y
IDCJAC0005,086071,1869,04,29.7,04,Y
IDCJAC0005,086071,1869,05,19.6,14,Y
IDCJAC0005,086071,1869,06,17.5,04,Y
IDCJAC0005,086071,1869,07,18.1,13,Y
IDCJAC0005,086071,1869,08,23.3,29,Y
IDCJAC0005,086071,1869,09,25.4,15,Y
IDCJAC0005,086071,1869,10,26.7,22,Y
IDCJAC0005,086071,1869,11,33.9,17,Y
IDCJAC0005,086071,1869,12,42.4,20,Y
IDCJAC0005,086071,1870,01,41.7,24,Y
IDCJAC0005,086071,1870,02,42.7,15,Y
IDCJAC0005,086071,1870,03,32.2,19,Y
IDCJAC0005,086071,1870,04,30.5,02,Y
IDCJAC0005,086071,1870,05,20.3,05,Y
IDCJAC0005,086071,1870,06,17.1,26,Y
IDCJAC0005,086071,1870,07,18.1,16,Y
IDCJAC0005,086071,1870,08,18.7,25,Y
IDCJAC0005,086071,1870,09,21.7,05,Y
IDCJAC0005,086071,1870,10,27.0,24,Y
IDCJAC0005,086071,1870,11,29.4,11,Y
IDCJAC0005,086071,1870,12,36.3,17,Y
IDCJAC0005,086071,1871,01,36.7,26,Y
IDCJAC0005,086071,1871,02,34.3,18,Y
IDCJAC0005,086071,1871,03,30.5,27,Y
IDCJAC0005,086071,1871,04,31.0,02,Y
IDCJAC0005,086071,1871,05,22.7,08,Y
IDCJAC0005,086071,1871,06,17.6,26,Y
IDCJAC0005,086071,1871,07,17.7,14,Y
IDCJAC0005,086071,1871,08,21.2,24,Y
IDCJAC0005,086071,1871,09,23.2,17,Y
IDCJAC0005,086071,1871,10,30.3,24,Y
IDCJAC0005,086071,1871,11,31.7,21,Y
IDCJAC0005,086071,1871,12,41.1,22,Y
IDCJAC0005,086071,1872,01,39.6,16,Y
IDCJAC0005,086071,1872,02,35.5,17,Y
IDCJAC0005,086071,1872,03,35.5,03,Y
IDCJAC0005,086071,1872,04,25.6,20,Y
IDCJAC0005,086071,1872,05,19.6,31,Y
IDCJAC0005,086071,1872,06,20.0,02,Y
IDCJAC0005,086071,1872,07,17.7,09,Y
IDCJAC0005,086071,1872,08,18.4,17,Y
IDCJAC0005,086071,1872,09,24.4,11,Y
IDCJAC0005,086071,1872,10,29.2,28,Y
IDCJAC0005,086071,1872,11,33.3,26,Y
IDCJAC0005,086071,1872,12,32.3,06,Y
IDCJAC0005,086071,1873,01,38.3,20,Y
IDCJAC0005,086071,1873,02,39.1,16,Y
IDCJAC0005,086071,1873,03,35.1,05,Y
IDCJAC0005,086071,1873,04,29.5,07,Y
IDCJAC0005,086071,1873,05,21.4,08,Y
IDCJAC0005,086071,1873,06,20.0,01,Y
IDCJAC0005,086071,1873,07,17.7,31,Y
IDCJAC0005,086071,1873,08,21.9,28,Y
IDCJAC0005,086071,1873,09,26.3,28,Y
IDCJAC0005,086071,1873,10,32.1,16,Y
IDCJAC0005,086071,1873,11,28.9,04,Y
IDCJAC0005,086071,1873,12,38.4,08,Y
IDCJAC0005,086071,1874,01,37.7,02,Y
IDCJAC0005,086071,1874,02,38.3,14,Y
IDCJAC0005,086071,1874,03,33.5,11,Y
IDCJAC0005,086071,1874,04,25.8,09,Y
IDCJAC0005,086071,1874,05,22.5,09,Y
IDCJAC0005,086071,1874,06,16.9,06,Y
IDCJAC0005,086071,1874,07,17.1,24,Y
IDCJAC0005,086071,1874,08,20.1,21,Y
IDCJAC0005,086071,1874,09,20.7,24,Y
IDCJAC0005,086071,1874,10,31.3,18,Y
IDCJAC0005,086071,1874,11,31.0,04,Y
IDCJAC0005,086071,1874,12,39.3,17,Y
IDCJAC0005,086071,1875,01,43.5,20,Y
IDCJAC0005,086071,1875,02,37.9,03,Y
IDCJAC0005,086071,1875,03,33.9,10,Y
IDCJAC0005,086071,1875,04,26.7,10,Y
IDCJAC0005,086071,1875,05,20.8,03,Y
IDCJAC0005,086071,1875,06,18.3,24,Y
IDCJAC0005,086071,1875,07,18.9,14,Y
IDCJAC0005,086071,1875,08,20.5,17,Y
IDCJAC0005,086071,1875,09,23.7,25,Y
IDCJAC0005,086071,1875,10,27.1,14,Y
IDCJAC0005,086071,1875,11,30.0,27,Y
IDCJAC0005,086071,1875,12,34.0,20,Y
IDCJAC0005,086071,1876,01,39.3,30,Y
IDCJAC0005,086071,1876,02,39.3,07,Y
IDCJAC0005,086071,1876,03,36.7,14,Y
IDCJAC0005,086071,1876,04,26.1,15,Y
IDCJAC0005,086071,1876,05,22.3,05,Y
IDCJAC0005,086071,1876,06,17.5,05,Y
IDCJAC0005,086071,1876,07,16.7,26,Y
IDCJAC0005,086071,1876,08,21.3,23,Y
IDCJAC0005,086071,1876,09,26.7,20,Y
IDCJAC0005,086071,1876,10,28.5,04,Y
IDCJAC0005,086071,1876,11,35.1,14,Y
IDCJAC0005,086071,1876,12,43.7,15,Y
IDCJAC0005,086071,1877,01,38.1,10,Y
IDCJAC0005,086071,1877,02,37.9,08,Y
IDCJAC0005,086071,1877,03,32.1,23,Y
IDCJAC0005,086071,1877,04,30.0,03,Y
IDCJAC0005,086071,1877,05,20.9,14,Y
IDCJAC0005,086071,1877,06,19.7,05,Y
IDCJAC0005,086071,1877,07,18.3,31,Y
IDCJAC0005,086071,1877,08,20.7,13,Y
IDCJAC0005,086071,1877,09,23.9,28,Y
IDCJAC0005,086071,1877,10,32.2,26,Y
IDCJAC0005,086071,1877,11,36.1,26,Y
IDCJAC0005,086071,1877,12,36.0,12,Y
IDCJAC0005,086071,1878,01,37.3,09,Y
IDCJAC0005,086071,1878,02,32.9,22,Y
IDCJAC0005,086071,1878,03,36.0,13,Y
IDCJAC0005,086071,1878,04,28.4,08,Y
IDCJAC0005,086071,1878,05,20.7,06,Y
IDCJAC0005,086071,1878,06,14.1,05,Y
IDCJAC0005,086071,1878,07,20.2,24,Y
IDCJAC0005,086071,1878,08,22.1,27,Y
IDCJAC0005,086071,1878,09,25.5,20,Y
IDCJAC0005,086071,1878,10,32.0,30,Y
IDCJAC0005,086071,1878,11,39.4,14,Y
IDCJAC0005,086071,1878,12,39.7,20,Y
IDCJAC0005,086071,1879,01,41.1,29,Y
IDCJAC0005,086071,1879,02,40.0,06,Y
